NPC1, NPC2,NPC3,NPC4,NPC5,NPC6,NPC7,,,,,,,,,,,,
Thank you .,"Well , anything is better than nothing . Wait and see .",Will you be voting ?,Here you are .,thank you . So what do you think ? Would we have a good time ?,"Yes , and it's great . What are the events at the sports meeting ?",,,,,,,,,,,,,
Yeah . I was in a hurry and I forgot my umbrella today .,"Why , do we need groceries ?",Who are you voting for ?,It's a ruby . It is from South Africa . Would you like to try it on ?,"for the most part , yes . Some of the rides are bit too scary for me , though .","Our neighbor , Bruce , will take part in the relay race . Let's go have a look .",,,,,,,,,,,,,
"Oh , that ?s very kind of you . I am going to the Garden Hotel .",Do you know what to get ?,What do you like about him ?,It costs $ 200 .,even the roller coasters that go through tunnels in the dark ?,"The competition will begin in 5 minutes , it's tense here .",,,,,,,,,,,,,
Sure .,Why don't you go and check the refrigerator ?,You think so ?,"Thank you , Lisa .",thanks for the advice . I'll talk to my fiance about it tonight .,Other competitors have almost caught up with him . They are neck and neck .,,,,,,,,,,,,,
I'm interested in Chinese antiques .,Why don't you just get the basics ?,I ?m glad to hear that you are so excited .,"Oh , great ! I love it ! You know I've been expecting this for a long time .",Matthew ? Hi !,"Wow , Bruce crossed the line first .",,,,,,,,,,,,,
I'd like a flower-and-bird painting .,"Eggs , milk , bread . Things like that .",I ?m sure he will be .,"Come here , let me introduce some friends to you .",It's got to be almost a year now .,"Yes , they are shy and gentle but very powerful .",,,,,,,,,,,,,
"Oh , they look just like live cranes .","Sure , no problem .",Good morning . May I help you ?,"I'm not sure , I feel hot and cold .",I'm pretty good . I've been looking for a place to live recently . My lease runs out next month and I don't want to renew it .,How wonderful it would be if I had such smiles !,,,,,,,,,,,,,
"I have to check out now . My name is Ruth Carson . Can I have my bill , please ?","Since we have reached an agreement on all terms , there shouldn't be any problems for the contract .","One moment , please , sir . ... Here's your bill . Would you like to check and see if the amount is correct ?",I was sick most of the night .,Not yet . But I am still looking through the classifieds . Wish me luck .,"Yes , it's been marvelous . It really was very kind of you to invite me . I hope it hasn't been too much trouble .",,,,,,,,,,,,,
Thank you .,"Yes , I got it . Thanks .",That's for the phone calls you made from your room .,Have I got a high fever ?,Mrs . Thou ?,It's a man-made wonder . I've seen it many times in textbooks and it's part of my dream to visit it .,,,,,,,,,,,,,
"Well , Mitzuko-san , I hope you like it here . This is my favourite restaurant in Taipei . It reminds me of my youth when I traveled around Europe .","Yes , can I help you ?","Certainly . May I have your passport , please ?","Yes , I have .",Great . It's a lovely neighborhood . And it would be nice to be neighbors again . It would be just like the old days !,That's true .,,,,,,,,,,,,,
The chef trained in Florence . The pasta is very good here .,"OK , here you are .",Could you sign each cheque here for me ?,"Aaaaahh , aaaaahh .",Are you ready to go to the mall ?,Do you already know how to play an instrument ?,,,,,,,,,,,,,
Hum ... You should try the mushroom fettucine . It's really good .,I was unable to make it .,"Here are your receipt and your change , sir . Thank you .","All right , thanks .",Copycat !,"Aside from yourself , who are the other members of the band ?",,,,,,,,,,,,,
Not at all . It has a very delicate flavor .,Is that right . Who ended up winning ?,What type of people do you work with most effectively ?,What shall I do today ?,"You went out and bought khakis , too !","Yes , I ?m a singer .",,,,,,,,,,,,,
"Oh , that means soup of the day . I'll ask the waiter what they have today . Have you tried mussels cooked the Italian way ? They're really delicious .",I wish I was free that night . I'm kind of mad that I didn't go .,What things impress you in your colleagues ?,"You can be sure of that , sir .",Whatever .,"Great ! Wait here ? You don ?t have enough room for the amplifiers , microphones or even your drums ! By the way where do you keep them or practice ?",,,,,,,,,,,,,
I am calling to ask about the position of an usher .,What was the score at the end of the game ?,What are some of the things your supervisor did that you disliked ?,What did they say ?,Have heard of Paul ?,I would like to have that new style Gl Joe .,,,,,,,,,,,,,
What qualities do you expect the applicants to have ?,Sounds like it was a close game .,How do you organize and plan for major projects ?,That's too bad . How much is a new one ?,He's got a promotion .,Yes and I've written him a letter .,,,,,,,,,,,,,
"Hello , ma ?am , can I help you find something ?","The next game , I will definitely be there .",Describe an experience when you had to work under great pressure .,Plus installation ?,"No , they made him vicepresident in charge of sells .","George , how can we ? Vacations cost money . And this month we don ?t have much money left after paying the rent .",,,,,,,,,,,,,
"We ?Ve got a wide selection do you know if you ?d like a point-and-shoot , or something a little fancier ? Are you shopping for yourself or for someone else ?","No , never . I prefer to actually see and touch what I'm buying before I pay for it , especially for clothes and shoes .",How do you manage your time in a typical day ?,Really ?,"Well , it's true.The board man last thirdly and they choice Paul .","Where will we sleep , then ?",,,,,,,,,,,,,
"Ah , well then I ?d recommend a nice entry-level digital SLR .","I've heard some friends say when they get the article , it's quite different from what they see on the website advertisement .",Describe a time when you acted on someone's suggestion .,That's nice .,"Jeff , I'm going to the supermarket . Do you want to come with me ?",What about other expenses ?,,,,,,,,,,,,,
"Sure thing , follow me . This here is the .","What's more , it's not always so safe for us to pay online as hackers might steal the user name and password .","Did you get Bean's ten different good luck forwards , like that one from the Dalai Lama ?","If my hard drive crashes , I'll just call you .","Oh , When does it close ?",Maybe you ?re right . When do you plan to go ?,,,,,,,,,,,,,
"Oh , ah , um the Nikon D60 is a nice option .",I can't agree more . that's why I only do street shopping .,I figured I might as well send one or two of them out . Maybe my luck will get better .,Don't get up so late next time . You should have gone to bed earlier last night .,That's too bad .,"Oh , I don ?t know where we ?re going yet .",,,,,,,,,,,,,
"Oh , well this one has the , uh .",That's a good idea .,It's worth a shot . Maybe we'll get some luck in thinking up something for this case .,I ?m worried about my daughter . She can ?t decide about college .,Alright . What do you want to do now ?,Let ?s go to Chicago.We can have lunch in Chinatown.Then we can go to a ball game at Wrigley Field !,,,,,,,,,,,,,
"So , ahem , can I interest you in any acc ...",It is 15 minutes ?drive .,I am sorry to have kept all of you waiting . I was delayed by something urgent .,I don ?t mind that . But she disagrees with me about everything .,Where does she live ?,The science field trip is next Monday at 8 o'clock in the morning . Do you want to make note of that on your calendar ?,,,,,,,,,,,,,
"Polarizing filter um we should ! I ?m sorry , ma ?am . It looks like we ?re sold out .","Mitsubishi , HP , IBM and many other famous corporations .",What did he say ?,But I just want to give her some tips .,How long has she lived there ?,"Next Monday is December 2nd . The buses will leave at 8 , but we must begin loading at 7",,,,,,,,,,,,,
"Oh , well , would you look at that ! Polarizing filters .","Yes , our company has two floors , the 6th and 7th floor in this building .",He shouldn't drive his car . He should come here by bus .,I guess you are right .,That's a long time . Where did she live before that ?,You might want to tell whoever is picking you up that you will return on December 8th . Do you have a ride ?,,,,,,,,,,,,,
"No problem , ma ?am .","Yes , at the end of the hall .",Want to send out for some Chinese ?,I hope so .,"Hey , Peter , have you had lunch yet ?",To get back to campus by 8,,,,,,,,,,,,,
"May I help you , ma'ma ?","Good morning , I have an appointment with Mr . Johnson at 10:00","Some Chinese food . I'm hungry , and there's a take-out restaurant near here . We can have them deliver and then watch the news on TV while we eat .",Yes . I feel refreshed .,Not yet . Let's go to that restaurant on the corner .,All of the extra information that you need is on the bulletin board in the hallway . See you on Monday !,,,,,,,,,,,,,
First you must check in at Counter No . 4 .,Yes . That ?s right .,"Okay . I could go for that . It's called Al's Steakhouse . They also have great fried fish , and I love their salad bar . You can go back to refill your plate as often as you like .",In half an hour . The surface of the lake is calm .,Who's that ?,I'm sorry for hero .,,,,,,,,,,,,,
That's right . Then you will follow the signs to Gate 85 .,"Well , I ?ll wait .","Yes , their steaks are enormous . Sometimes I can't finish what I've ordered .",It sure was . I couldn't eat another bite .,I had a big argument with david yesterday . I hope he ?s not still mad at me .,Don't be too critical . We can't expect it to be perfect .,,,,,,,,,,,,,
"Mr . Crandall , I ?m sorry , but I really don ?t see the value in doing this entire project over from scratch . It would take a lot of work .","Thank you . Coffee , please .",Don't worry . We'll just get a doggie bag .,you're right . I have to get up early to go to work tomorrow .,He borrowed some money from me and I needed it back . He said he didn ?t have the money yet .,Great - they wined and dined us all week .,,,,,,,,,,,,,
I agree . But I think that we can handle the problem by making a few major changes . I ?d appreciate it if you would give me a chance .,Thank you very much .,Do you get the news that our company is trying to find out new tactics to test us ?,don't worry about it . Tonight is my treat .,"Yes , but I got angry with him too quickly . He probably thought that I mistrusted him . I shouldn ?t have got angry .",My boss sent me here to take some business documents back to his office . I didn't know you were working here.What a surprise.How long have you been doing this ?,,,,,,,,,,,,,
I think it's time for me to meet my admirer and make him face the music .,I need to report a break-in .,"It takes most of our weekends to listen to these boring lectures , so I can not bear it anymore . It is said that they think out some tests to check our management skills .","no , I insist . I kept telling you that I would treat you to dinner but I still haven't .","Not much . I had to pay an unexpected bill , so I needed the money back .",That is great.Do you have to work the night shift ?,,,,,,,,,,,,,
I'm leaving him a message taped to my computer screen .,Last night .,Definitely !,"alright , if that's the way you are going to be , we'll split the bill .","No , we didn ?t . I guess you ?re right . We should patch things up .",Do you enjoy work here ?,,,,,,,,,,,,,
"He'll see it . It says , I like sweets . Meet me at two thirty in the parking lot .",It happened at my house .,"Hello sir , how may I help you ?","just promise you will let me treat you to dinner next week , ok ?",Did you read the letter in the paper about smoking ? The person who wrote that must be crazy .,Take it easy . I'm sure you will gain enough experience while working as a marketing assistant . I hope you haven't been given much trouble in the job .,,,,,,,,,,,,,
No . But I'll fill you in later . Right now I have to find Vince .,I'm not sure yet .,"I see , may I ask what the occasion is ?",great . Bye .,Maybe so . But a law banning cigarettes will do no good .,Glad to hear that .,,,,,,,,,,,,,
There's plenty left . Would you like another helping ?,My front window was busted .,Very well.This arrangement here is very popular among regretful husbands and boyfriends . It has a dozen long stem red roses with a couple of sunflowers and a single orchid that stands out . It includes a small teddy bear to achieve the effect of immediate forgiveness .,Yes . I'm going to the Untied States for travel . What places do you recommend ?,Do you know that the dolphin is the most intelligent animal in the world ?,What's the second solar system ?,,,,,,,,,,,,,
"Excuse me , does this bus go to the new bookstore ?",Please hurry .,"Mmm , well this is our I ?m sorry I cheated on you package . Two dozen red roses lined with tulips , carnations and lilies . The fragrance and beauty of this flower arrangement is sure to make her forgive you .",Someone suggests that I should go to Seattle and Hawaii .,They must be amazing animals .,Is this good news or bad news ?,,,,,,,,,,,,,
Thank you.How much is the fare to that stop ?,"You don't need to introduce yourself , Yang . You're famous .","I ?m sorry sir but , what exactly did you do ?",And Seattle is the home of Microsoft and Boeing . That must be a great place . I can't miss it .,I read that story too . They seem to be able to understand men .,You mean with people on it ?,,,,,,,,,,,,,
How many stops are there ?,"OK , OK !","Get out of my store , you jerk !","You know , I fell in love with this house the first moment I laid eyes on it .","Oh dear , my weight has gone up again .","Sorry , I thought you knew .",,,,,,,,,,,,,
Could you please tell me when we get there ?,"Uh , oh , sure . Well , I think we should keep in mind that the key to good sales is advertising .",I have to get to Chicago by tomorrow and you're telling me that there are no flights ?,The exterior is only half of the story . The interior is incredible .,And I suppose sitting at the desk all day in the office doesn't help .,Didn't I ?,,,,,,,,,,,,,
"By the way , do I need a transfer again after No . 50 ?","Give me a break , Mr Yang .",You mean like a bus ? Have you ever traveled for ten hours on a bus before ?,"Everything that you see on the walls , floors , and windows is brand new .",I do wish I could lose weight .,"Well , I am telling you now .",,,,,,,,,,,,,
Thank you .,What do you mean ?,"Alright , give me the number . But put me on that waiting list as well .",Straight ahead is the gourmet kitchen .,I've tried diets before but they've never worked .,I didn't think you would be interested .,,,,,,,,,,,,,
How are you wedding plans going ?,"We'd better take it up with them , in that case .",How many people are on the waiting list right now ?,The master suite is the best . Let ?s go look at that next .,"Yes , maybe I should .","Sorry , I didn't think it mattered .",,,,,,,,,,,,,
When will that be ready ?,"No problem , if possible I always combine business with pleasure . Now , let ?s hear more about these chocolates you ?re offering .",How do you think they could be ended ?,"I know that you like this house , but let ?s take a look at the others before you make up your mind .",Could you please wait for a minute ? I'll buy the tickets,I didn't really like it .,,,,,,,,,,,,,
"You ?re getting married in three weeks . So that should be ok . So , you ?Ve prepared the church , catering , transport , hotel-everything .","Mmmm , sounds interesting ... gourmet chocolates , where are they produced ? Belgium ?","So , if the cause is poverty , there should be a program to make the country richer.If the problem is resources , share them .",l am afraid there isn't any fancy soap in my room .,Here is your ticket .,I found it very disappointing .,,,,,,,,,,,,,
Which hotel will the reception be held at ?,Really ? I didn ?t think they were known for their luxury chocolate production,"Yes , it is.One way to stop countries fighting is to cut off their financial support . Wars are very expensive .",Yes.Bring me a bath towel as well .,The park will close soon . We Should better go in right now .,I wasn't happy with it .,,,,,,,,,,,,,
"Oh , yes . It ?s and excellent hotel . A friend of mine had her wedding reception there and said it was perfect , though very expensive .","Oh , thanks . Mmm , hmm , creamy texture , very smooth ...",You still have not given me those files I ?Ve asked you for .,Can I make a reservation for flight FW58 to San Marino ?,"Yes , let's go in .",Where are you going ?,,,,,,,,,,,,,
I think you make the right decision .,"Yes , very interesting flavors ... Slightly spicy , very unique , that ?s for sure . Exactly what ARE the ingredients ?","I really don ?t want to hear your excuses , Janet . We ?re running a busy office here . You ?re going to have to keep up .",Next Monday .,"Yes , how do you know ?","Again ? You just went last week ! You spend more time at the nail salon than you do here at home ! Honestly , why do you need a manicure every week ?",,,,,,,,,,,,,
Have you any round-neck sweater ?,Haggis ? What ?s Haggis ?,What sort of job would you like to take ?,What's the fare for a first class seat ?,"Well , generally speaking , the park is a window on the world history , a window on the world civilization and a window on the world's tourist attractions as well .",Why ? I don ?t want to have nail polish or anything like that !,,,,,,,,,,,,,
Can I try this one on ?,"Ah , get back to you .",We need an operator now .,Oh . I am not a wall streeter.Give me an economy one please .,I was just watching a documentary on TV about how people use dogs for various purpose . It was very interesting .,"Yeah , sounds like something I should definitely do .",,,,,,,,,,,,,
"The color is too bright.For my age , I would prefer a lighter color .","Yes , we are just looking for one . What's the charge per day ?",I wish the politicians would quit digging up dirt about each other's past .,"Yes , hello again . I would like to know the exact difference between Dividend Deposit and Dividend Participated Deposit .",The documentary also pointed out that they are used by shepherds to round up sheep and by rescue workers to find people trapped under rubble or snow .,"Good afternoon ! Sit down , please.How are you ?",,,,,,,,,,,,,
"So Dick , how about getting some coffee for tonight ?",That's reasonable .,And it takes up all the news .,And I can purchase that here ?,Don ?t forget that horses are still used in many countries to pull ploughs and carts .,"Very well too , thank you very much.Isn ' t it a lovely day ?",,,,,,,,,,,,,
"Come on , you can at least try a little , besides your cigarette .","Yes , that's right .","It's so small . The fact that there is public interest , doesn't say much for us as the public .","Yes , what kind of room do you want ?","Yes , I can . I don ?t ride regularly though . How about you ?",Yes .,,,,,,,,,,,,,
"Not for me , Dick .","Oh , yes . I remember .",I don't remember the last time I listened to AM radio .,"Sorry , right now we can only have you a room without shower .",What a good idea !,Mm ... It's quite warm now .,,,,,,,,,,,,,
You guys are charging me $ 10 for a movie that I never ordered or saw .,"Monica , wait a moment . I think we ?d better call the repair man to do it .","Hello , Miss Wu , This is Dan Robson calling from OTC limited . I'd like to check my last order . When exactly was it sent out ?",That's easy . It was your office ergonomics that decided me .,Where's Mrs . Johnson ?,In London.Where do you live ?,,,,,,,,,,,,,
"Well , the wrong information is in my file . I was at a concert Monday night .",I ?d like you to have a look at the safety manual of our company .,Sure . No problem .,"Yes . It is very important to me . My mother worked in offices for twenty years , and she finally had carpal tunnel syndrome . I have been reading about repetitive stress injuries , and I know that t",I see . Can I sit down ?,So what are you gonna do ? Just quit ?,,,,,,,,,,,,,
I knew you'd see it my way .,Other company rules also need your attention .,Sure . Do you have my number ?,"Yes , I noticed that you have professional training and team-building days . I like the idea of working for a company that invests in its staff .","Thank you , Mr . Johnson .",Have you ever written up a business plan before ?,,,,,,,,,,,,,
Am I in the Twilight Zone ? You're charging me for a movie I never saw ?,Don ?t mention it .,No problem . I'll wait for your call .,"Oh , thank you .","Okay , Tom .","You couldn ?t be more wrong ! A well written business plan will include an executive summary which highlights the idea of the business in two pages or less . Then you need to describe your company with information such as what type of legal structure it has , history , etc .",,,,,,,,,,,,,
This is highway robbery . I've got a good mind to call the police !,When did you finish ?,What are you typing there ?,Yes . I'm rather tired and want to go to bed early . Please make the bed .,She's upstairs in my room .,"Wait , there ?s more ! Then you need to introduce and describe your goods or services . What they are and how they are different from competitors ?? Then comes the hard part , a market analysis . You need to investigate and analyze hundreds of variables ! You need to take into consideration socioeconomic factors from GDP per capita to how many children on average the population has ! All this information is useful so that you can move on to your strategy and implementation stage , where you will describe in detail how you will actually execute your idea .",,,,,,,,,,,,,
Mr . Carter has asked me to come over to invite you to the banquet held in your honor at the Shangri-La Hotel at 7:00 this evening . Here's an invitation for you .,"Well , I ?m glad to hear it . Have a cup of coffee !",Really ? Did you find any information about a new job ?,Marry Lin please .,Have you heard of Paul ?,"Almost , the most important piece of information for your investors will be the financial analysis . Here you will calculate and estimate sales , cash flow and profits . After all , people will want to know when they will begin to see a return on their investment !",,,,,,,,,,,,,
"If you could be ready by , say 6:30 o'clock , I'll be at the hotel to pick you up .",Did you mail us your last Continued Claim Form ?,Great ! Do you think you have a chance at getting the job ?,"All right , could I leave a message ?",He's got a promotion .,So I heard .,,,,,,,,,,,,,
"It's my pleasure . Well , then . I'll say goodbye .",We cannot pay you unless you turn that form in every two weeks .,Maybe I should try looking on the web for work .,Please ask her to call John .,"No , they made him vicepresident in charge of sells .",She went over the edge after her son was killed in an accident .,,,,,,,,,,,,,
I'd like to speak Dr.Johnson .,It can ?t be more than fourteen days late for us to accept it .,But there must be so many people who also see the advertisement for that job on the net . You might have no chance .,"Well , that's what I'm looking for myself .","Well , it's true . The board man last thirdly and they choice Paul .",How about a movie ? We haven't done that for a while .,,,,,,,,,,,,,
"This is Robert Jordan.Would you ask him to call me back , please ?","You can ?t possibly know in advance how much you will be working . If you mail it in too soon , we will reject it !",Would you please show me the necklace in the window ?,"Absolutely . Oh , do you see a sign there ?",Let's speed up . We're going to be late again .,No . Why don't you check out the newspaper ?,,,,,,,,,,,,,
"Good morning , sir . May I see your passport ?","Your check will be arriving late , but the next one will come right on time .","No , the one next to it .",OK . Let's go and see .,I hope so .,"Not much , that new reality-TV show , Ally McNeal , oooo , Dark Angel .",,,,,,,,,,,,,
Thank you . Are all these yours ?,"I'm ready when you are , sir .",Thanks . What kind of stone is this ?,"Well , sir , I think I have made a mistake . I will take it back to the kitchen right now .",Is it your first time to join the sports meeting of Junior High School ?,"Oh , come on . That ?s such a girl ?s show .",,,,,,,,,,,,,
"Yes , please . Do you have any carry-on items ?","You are so right , sir . The clock just struck nine .","Yes , please . How much is it ?","Yes , sir . I'm really so sorry about that .","Long-distance race , dash , hurdle race , relay race , standing long jump , high jump , shotput and so on .","Yeah , if you ?re a girl .",,,,,,,,,,,,,
"Yes , please . Would you please open this big suitcase ?","Sir , right here we have a storage site . Its only $ 5 an hour , but you need to leave a deposit .",It looks good . OK . I'll take it .,"Look , Sally . I ?Ve put just as much work into this as anybody else .","OK , let's go .",That ?s not true . Dark Angel is a good show .,,,,,,,,,,,,,
OK . Do you have anything to declare ?,"I'm sorry , sir , but it isn't . Your MasterCard or VISA will take care of things nicely .","Happy birthday , Jim !",Well . I ?m sorry you feel that way .,"Wonderful , Bruce is taking the lead .","O . K . , O . K . Let ?s forget it . There ?s a football game on too .",,,,,,,,,,,,,
"Any fresh food , live plants , or animals ?","Okay , sir . But don't take too long . You only have 30 minutes .",Here is a present for you . I hope you like it .,"Things are going good today . How have you been doing , Mary ?","Come on , Bruce . Come on , Bruce .",What are you talking about ?,,,,,,,,,,,,,
Thank you . You may lock up your suitcase . Here are your passports .,Yes . I'd like a cup of onion soup .,I'm very glad to hear that .,Want to go see a movie tonight ?,Tim ?s smiles are interesting .,You said it . Many parents just don ?t know how to educate their children .,,,,,,,,,,,,,
Hello . I bought a China dress in your shop this morning .,"I'd like the roast chicken , please .",What's wrong with you ? You look pale .,"Could you go with me to the movies on Friday night , instead ?",You are right . They sweep Nancy off her feet . And now she fell head over heels in love with him .,I went shopping .,,,,,,,,,,,,,
I bought it one size up by mistake .,"Yes , I know and I like it very much . I will take it .",When did the trouble start ?,There is a new horror flick about a rapist serial killer .,Have you enjoyed your weekend ?,"Yes , I bought a few things .",,,,,,,,,,,,,
I wonder if you can change it to one size down .,How long is this cell phone guaranteed ?,It sounds like you are coming down with the flu . Let me take your temperature .,Oh great ! Sounds like something I need to bring Kleenex to !,Not at all . We've really enjoyed having you . I hope you'll come and stay again next time you're in Changsha .,I bought this coat . Do you like it ?,,,,,,,,,,,,,
"Then I'll come to your place later in the evening , and how late is your shop open ?",It was alright . I ran into Bill and we got to talking for a while . He ?s in a bit of a jam .,"Yes , thirty-eight point seven . Do you have a headache , chest or throat pain ?",Tired and stressed . This wedding is giving me a headache .,The Great Wall is a great attraction for visitors .,At the mall on 5th street .,,,,,,,,,,,,,
"The boss announces the pay raise today , right ? How much do you think we'll get ?","Well , his son had an accident and Bill doesn ?t have health insurance . This really got me thinking , and I wondered if we shouldn ?t look into a couple of different HMO ?s .","Now , let me have a look at you . I'd like to listen to your chest . Now breathe in , a deep breath , that's it Cough , now again . I want to examine your throat , too . Open wide , say ' Ah - - '",I'm worried that everything will be chaotic !,Someone claimed it was one of the two man-made wonders that could be seen on the moon .,"No , it wasn't expensive . It was on sale for 20 dollars .",,,,,,,,,,,,,
It better be more than last year .,"Exactly ! I searched on the web and found a couple of HMO ?s with low co-pays and good coverage . The deductibles are low , too .","Yes , it does look a bit sore . Let's take an X-ray of your chest and give you a few tests .","You're going to have to tell them what to do in church , what everything means ...",I ?m forming a music band .,I know . It was a really good deal .,,,,,,,,,,,,,
I'm going to go shopping for groceries in a little bit .,"Well , we don ?t have any pre-existing illnesses or conditions , so we should be fine .",The tests showed nothing wrong . A slight viral infection .,"Nothing , Mummy . I was hungry so I came here for some milk .","Uh ... Yeah ! I ?Ve told you a thousand times that I ?m learning to play the drums . Now that I know how to play well , I would like to form a rock band .","Oh , I'm fine .",,,,,,,,,,,,,
I believe we are all out of food .,Not in a million years !,"I'm giving you some antibiotics and aspirins . Take an aspirin when you've got a fever , and take one antibiotic capsule every four hours , and go home and rest in bed for two days . Drink plenty of water , then you'll feel better . Here's the prescription .","I don't , but I couldn't find anything to eat in the refrigerator .","We have a guy who plays guitar , and another who plays bass . Although we still haven ?t found anyone to be our singer . You told me that you had some musical talent , right ?",Maybe ... but I don't think so .,,,,,,,,,,,,,
I don't know what we need .,"Yes , of course . There are many steps . You can apply for the job on the Internet and then send your resume to the e-mail address of the company . And wail the feedback of the company .",I have to check out today . I'd like my bill ready by 10 this morning .,Nothing .,Perfect . So you can audition this weekend here at my house .,I don't know . I'm just feeling a little sad .,,,,,,,,,,,,,
I would appreciate it if you would do that for me .,You must have over 2 years'experience first .,Thank you .,Promise that you won't get angry .,What would you like for Christmas ?,"Now that's a good idea . Thanks a lot , Brian . I'm feeling better already .",,,,,,,,,,,,,
What do you mean ?,Played poker with my work friends .,I called HP about my computer .,It's a kitty .,Have you asked Santa ?,He can barely make ends meet .,,,,,,,,,,,,,
Go make that list .,Of course .,They said I need a new hard drive .,"Please , Mummy . Everybody else in my class keeps a pet . Please , I'll take care of it . It's a good kitty . It'll not bring you any trouble .","Lili , let ?s take a vacation !",They're absolutely right to get a replacement for 21 .,,,,,,,,,,,,,
"Hello , take a seat please . Let's get straight to the point . This is our contract . Please read it carefully before signing .","Can I see your passbook and the withdrawal slip , please ?","It's not too much , only about $ 85 .","Please , Mummy . I found it this afternoon by the garbage bin . It was starving and looking for something to eat . Please ! You see , it's so cute and tame .","Well , Lili , we can visit different places in the state in our van 10 . We are not going to take a plane or stay at a hotel this time . Trust me , it won ?t cost much .","No way , if it still has 21 .",,,,,,,,,,,,,
May we once more remind you that the contract should be canceled by one month notice .,Let me just make sure . You want to withdraw one thousand dollars ?,"No , my hard drive is easy to remove and replace .","I will . Thank you , Mummy .",In the van .,It's the best seller everyone's been talking about for the last six months .,,,,,,,,,,,,,
"Excuse me , is this the baggage claim area from KL17 ?",Yes of course . This is a really good one actually .,"Yes , it's just a couple of screws .","Sure , anything you say .","Let ?s see . Gas , food , recreation , we won ?t spend much . Come on . Don ?t hesitate . We need to get out of the house once in a while . We have been working hard , haven ?t we ?",I checked it out of the rental library . It only costs five cents a day .,,,,,,,,,,,,,
"Well , this is my baggage claim tag . Can you get my baggage now ?",This one is 1500 yuan .,It's a lot better than paying someone $ 60 .,"Don ?t worry about it , just ask .",The sooner the better ! I can ?t wait !,I can't tell yet . I haven't got beyond the first chapter .,,,,,,,,,,,,,
Thanks a lot .,Would you like anything else ?,"Gosh , it's 7:30 , I'll miss the first class .",You need to know the type of shoes you want .,"As long as we ?re going , you can decide where to go . I trust your judgments . I know you miss Chinese food , so we can eat at a Chinese restaurant this time .","Wow , I can't catch my breath . You are running too fast , honey .",,,,,,,,,,,,,
Were you able to attend Friday night's basketball game ?,What is that ? It looks like something from a swamp !,"Yes , Mum .","The shoes can be comfortable or not comfortable , too wide , too narrow , or just right ; and long or short . In girls shoes , the heel can be high or low .",You have such good ideas !,"Yes , but you need to slow down . This is jogging , not racing !",,,,,,,,,,,,,
You should have been there . It was intense .,"You know , healthy eating doesn't have to make you gag .",Is there anything wrong ?,It has been 12 years since it was founded in 1998 .,What date will our field trip be on ?,But running so fast is not good for people over forties .,,,,,,,,,,,,,
Our team was victorious .,Have you ever tried it ? Or are you just going to believe the sales lady ?,Don ?t worry . That ?s just a part of being a teenager .,Yes . And it was incorporated with other businesses in 2008 due to the global financial crisis .,"Yes , I will make note of that .",We are not as athletic as we were when young . Mild exercise is more suitable for us .,,,,,,,,,,,,,
It was a great game .,"It may take less time , but I don't know about easier . Yuck .",You should encourage her to make up her mind by herself . You shouldn ?t affect her decision .,Can you help me with Comprehensive Credit Granting ?,I will be there half an hour early .,"In fact , in order to burn up your fat , you must take it slowly for a longer time .",,,,,,,,,,,,,
Our team won 101-98 .,I'm sorry I'm late . I overslept . Is the manager here today ?,"Oh , she can make her own decisions .","Well , everything really .","Yes , someone is picking me up .","Fine , thank you . I haven ?t seen you for quite some time . What have you been up to recently ?",,,,,,,,,,,,,
That's the reason it was such a great game .,"Oh , I hope he didn't notice me .",Believe me . Everything will be ok .,All right . But I don't want to play tennis . We played tennis last weekend .,"Not at the moment ?maybe later , though .","Oh , how can you be infatuated with horror films ? They're so scary .",,,,,,,,,,,,,
Have you ever tried shopping online ?,You said it . It won't happen again . Do you really think he'd fire me ?,It's beautiful here .,I want to go jogging .,The acting of this film is marvelous in spite of the thin plot .,"It's amazing . But if I were you , I wouldn't have the courage to watch the first one .",,,,,,,,,,,,,
That's right . Seeing is believing .,You are probably right . I'll go right now and apologize . I try hard not to be late but it is difficult with Beijing traffic .,How long will we dock ?,"I am terribly sorry . You didn't come to reconfirm recently.You should have come to pick up your ticket three days ago since it's an international flight , any reservation without reconfirmation within 72 hours will be cancelled .",I don't think there's any excuse for his acting in some parts .,"Maybe , but I would rather watch romance , science fiction , crime or even disaster movie instead of a horror picture . I wouldn't dare sleep at night after watching one .",,,,,,,,,,,,,
"That happens . Without close quality examination , we may encounter fraud , and the e-shop may suddenly disappear .",The rent is $ 1500 per month .,Yes . We come at the right time .,Does that suggest diners avoid speaking much ? The same is true in the West .,How was your business trip ?,Yep .,,,,,,,,,,,,,
"It's said that some measures have been taken to deal with this problem . Paying online is much safer than before , but I still have the feeling that it's not safe enough .",The deposit is $ 500 .,"that was a really good meal , Gordon .","You mean , keeping a low profile in the presence of the old ? That goes in like with Confucius ' preachings , right ?",Nice to meet you here.How come you dropped into this company today ?,"Maybe . After all , I am grown up now .",,,,,,,,,,,,,
"Me too . Sometimes I surf online shops to check some related information , and then go to a physical store to do the actual shopping .",There is the Balance of Net Liabilities . This must not exceed its net assets and no business loss can be shown during the past two years .,"well , it is getting pretty late . I think we should go home .",Any other rules to observe in order to keep modest ?,Two years or so .,The economy has been stagnant for a while now . We've been in a recessive state for several months already . What worries me the most is the trade deficit . I think the government should do more to encourage exports .,,,,,,,,,,,,,
